Business Name,Category,Address/Area,Phone,Web Presence,Active Status (verified Jul 2026),Priority,Evidence URL,Notes
Derek's Handyman Service,Handyman,"Sarasota, FL",(941) 405-2821,FREE-BUILDER PAGE,UNCLEAR,High,https://derekshandymanservices.square.site/,Free square.site page + FB; gmail contact; small FB page with no dated activity
GL Grasslands Lawn Care & Landscaping LLC,Landscaping,"Sarasota, FL",via Facebook,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/GrasslandsLawncare/,FL LLC registration active; FB posting videos; bilingual crew
Lighthouse Lawn Care FL LLC,Lawn care,"Sarasota, FL",(941) 323-6020,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.facebook.com/LighthouseLawnCareFL/,Veteran-owned; Yelp Jun 2026; gmail contact
Boss Lady Pressure Cleaning LLC,Pressure washing,"Sarasota, FL",(239) 898-2283,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/bossladyteamLLC/,Woman-owned; Nextdoor Neighborhood Favorite 2023 & 2024; FB actively posting promos
Southwest Florida Painting and Handyman Services,Painting,"Sarasota County, FL",via Facebook,SOCIAL ONLY,UNCLEAR,Standard,https://www.facebook.com/srqswfpainting/,First-responder-owned; FB + Nextdoor pages exist but no dated activity or reviews found
OCD Cleaning of Sarasota,Cleaning,"200 Honore Ave, Sarasota, FL 34232",(941) 301-7937,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/ocd-cleaning-of-sarasota-sarasota-2,Yelp Dec 2025 with active quote button; FL LLC active since 2020
Sarasota Pooligans,Pool service,"Sarasota, FL 34231",(941) 298-4042,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/sarasota-pooligans-sarasota,Yelp Jul 2026 with hours (Mon-Sat 7-7) and free quotes
Sarasota Pool Cleaning And Repair,Pool service,"Sarasota, FL",via Facebook,SOCIAL ONLY,UNCLEAR,Standard,https://www.facebook.com/SarasotaPoolCleaningAndRepair/,FB Messenger only contact; thin footprint; hard to distinguish from similarly-named competitors
EC Service & Moving,Movers,"Sarasota, FL",via Thumbtack,BOOKING-APP ONLY,LIKELY ACTIVE,Standard,https://www.thumbtack.com/fl/sarasota/movers,Live Thumbtack profile recently onboarded; local/piano/office moves
Martinez Drywall & Remodeling LLC,Drywall,"4523 Olive Ave, Sarasota, FL 34231",via Yelp,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/search?cflt=drywall&find_loc=Sarasota%2C+FL,Yelp shows responds-in-10-minutes metric implying live account; similarly-named domains belong to other companies
Croz's Surfshack,Food truck (hot dogs/Hawaiian),"Mobile, Sarasota/Bradenton, FL",(941) 586-3023,SOCIAL ONLY,UNCLEAR,Standard,https://www.yelp.com/biz/crozs-surfshack-sarasota,Est. 2014; pages exist but no dated 2024-2026 activity confirmable
Lady Lola Food Truck,Food truck (Venezuelan),"6104 S Tamiami Trl, Sarasota, FL",(941) 667-1005,SOCIAL ONLY,ACTIVE,Standard,https://www.instagram.com/ladylola.foodtruck/,Live Toast/DoorDash ordering; Yelp May 2026
DAN APIZZ' MAN New Haven Style,Food truck (wood-fired pizza),"1215 Mango Ave, Sarasota, FL 34237",(516) 476-0699,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/dan-apizz-man-new-haven-style-sarasota,53 Yelp reviews; Yelp Jul 2026; Sat @ Farmers Market Wed-Fri @ Sun King Brewery
Caribbean BBQ Truck,Food truck (Caribbean BBQ),"3250 Desoto Rd, Sarasota, FL (moved from 7922 N Tamiami Trl)",(941) 879-7144,NO WEBSITE,ACTIVE,Standard,https://www.yelp.com/biz/caribbean-bbq-truck-sarasota-2,Live Uber Eats; Yelp Dec 2025; IG posting Wed-Sat hours
La Cajita SRQ Food Truck,Food truck (Mexican-Cuban),"Sarasota, FL; Saturdays @ Sun King Brewery",,SOCIAL ONLY,ACTIVE,Standard,https://www.facebook.com/p/La-Cajita-SRQ-Food-Truck-61567893007439/,Catered 502 Gallery event per SRQ Daily Jul 2025; live Uber Eats; FB reels
Gran Arepa Southwest,Food truck (Colombian),"Mobile, Sarasota/SW FL",,SOCIAL ONLY,UNCLEAR,Standard,https://www.instagram.com/granarepasouthwest/,No dated Sarasota-unit activity found; parent site doesn't cover this truck
Phatheadz Barbershop,Barbershop,"1818 Dr MLK Jr Way, Sarasota, FL 34234",(941) 917-0329,BOOKING-APP ONLY,ACTIVE,Standard,https://booksy.com/en-us/164079_phatheadz-barbershop_barber-shop_134767_sarasota,Serving Newtown since 2008; live Booksy booking; Chamber active-member listing; Yelp Feb 2026
5STAR Barbershop,Barbershop,"3050 17th St, Sarasota, FL 34234",,BOOKING-APP ONLY,ACTIVE,Standard,https://booksy.com/en-us/315424_5star-barbershop_barber-shop_134767_sarasota,4.9 stars 69 Booksy reviews; live booking; Yelp Mar 2026
Pat's Barbershop,Barbershop,"935 N Beneva Rd Ste 615, Sarasota, FL",(941) 365-5441,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/patsbarbershop941/,FB + Vagaro/Fresha booking; listing dated 2026; no closure markers
Cattlemen Barber Shop,Barbershop,"999 Cattlemen Rd Unit D, Sarasota, FL 34232",(941) 377-6611,NO WEBSITE,ACTIVE,Standard,https://www.yelp.com/biz/cattlemen-barber-shop-sarasota,Est. 2009; live Fresha booking; Yelp Dec 2025; FL DBPR license on file
Gulf Gate Barbershop,Barbershop,"6575 Gateway Ave, Sarasota, FL 34231",,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/gulf-gate-barbershop-sarasota,Fresha + Yelp Jul 2026; distinct from Gulf Gate Drive Barbershop which has a site
Family Hair Salon & Barber Shop (Kidsmania),Salon/barber,"4517 Bee Ridge Rd, Sarasota, FL 34233",,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/family-hair-salon-and-barber-sarasota,Yelp Jun 2026; under new ownership + remodel; full family services
TT Nails Spa,Nail salon,"6370 N Lockwood Ridge Rd, Sarasota, FL 34243",(941) 359-1117,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/t-t-nails-spa-sarasota,Fresha + Yelp May 2026; women-owned
Pink Petals Nail Spa,Nail salon,"3315 University Pkwy #102, Sarasota, FL 34243",(941) 358-3851,NO WEBSITE,ACTIVE,Standard,https://www.yelp.com/biz/pink-petals-nail-spa-sarasota,4.9 stars / 687 reviews on Birdeye; live Fresha booking; Yelp Apr 2026
Valentine's Nail Spa,Nail salon,"7350 S Tamiami Trl, Sarasota, FL 34231",(941) 922-8282,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/valentines-nail-spa-sarasota,79 Yelp reviews 335 photos; Yelp May 2026; zero owned presence
Kelly's Private Home Dog Grooming,Pet grooming,"Home-based, Sarasota, FL (Bahia Vista area)",(941) 284-4083,SOCIAL ONLY,UNCLEAR,Standard,https://www.facebook.com/stinkysmellydog/,15 yrs experience; FB is entire presence; post dates unreadable — call to confirm
Shaggy Companions,Pet sitting/dog walking,"Sarasota, FL (in-home)",via Facebook,SOCIAL ONLY,UNCLEAR,Standard,https://www.facebook.com/shaggycompanions/,FB page exists; no reviews or dated activity found
Lesley's Pet Sitters of Sarasota,Pet sitting/dog walking,"33 S Gulfstream Ave, Sarasota, FL 34236",(941) 228-3209,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/lesleyspetsitters/,FB 100% recommend (13 reviews); k9magazine Top 12 listing; gmail contact
Rare Auto Detailing,Mobile detailing,"Mobile, Sarasota, FL",(941) 914-8102,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/p/Rare-Auto-Detailing-61556601914099/,IGL Ceramic & MAXPRO Tint certified; FB 100% recommend / 11 reviews
American Pie Antiques & Collectibles,Antiques,"1470 Fruitville Rd, Sarasota, FL 34236",(941) 362-0682,NO WEBSITE,LIKELY ACTIVE,Standard,https://www.yelp.com/biz/american-pie-antiques-and-collectibles-sarasota,Downtown; Yelp Mar 2026; hours current
Suncoast Auto Repair of Sarasota,Auto repair,"2221 17th St, Sarasota, FL 34234",(941) 954-6097,SOCIAL ONLY,ACTIVE,Standard,https://www.facebook.com/suncoastsrq/,Sunbiz LLC active; Yelp Apr 2026; BBB profile; suncoastautorepair.com belongs to a different Bradenton shop — SEO pitch angle
The Bike Shop,Bikes,"5444 McIntosh Rd, Sarasota, FL 34232",(941) 404-9090,NO WEBSITE,UNCLEAR,Standard,https://www.yelp.com/biz/the-bike-shop-sarasota,Sparse Yelp page only; no socials or dated activity — call to confirm
Sooper Dooper Bikes LLC,Mobile bike repair,"Serves Sarasota & Manatee (based Bradenton, FL 34203)",(941) 289-7861,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/p/Sooper-Dooper-Bikes-LLC-61562808857241/,20+ yrs experience; Yelp Dec 2025; steady FB location-stop posts
Manasota Mobile Marine,Mobile boat repair,"Serves Sarasota & Manatee (based Bradenton, FL 34205)",(941) 745-1444,SOCIAL ONLY,LIKELY ACTIVE,Standard,https://www.facebook.com/Fixyourboat/,Certified outboard specialist; Yelp Oct 2025; gmail contact
Sam's Auto Repair Service,Auto repair,"2525 17th St, Sarasota, FL 34234",(941) 951-1328,NO WEBSITE,CLOSED - REMOVED,Removed,https://eliteautotireusa.com/sams-auto-repair-service-is-now-elite-auto-tire/,Rebranded to Elite Auto & Tire under new ownership; new entity has a website — dead lead
